parCodigo,parSiglas,parDenominacion,parColor
"3225","COMPROMISO POR SANTA FE  ","COMPROMISO POR SANTA FE                                                                             ","d3d607"
"3226","CUMPLIR                  ","CUMPLIR                                                                                             ","57c7ac"
"3227","EL PERONISMO VUELVE      ","EL PERONISMO VUELVE                                                                                 ","ea358a"
"3228","JUJUY AVANZA             ","JUJUY AVANZA                                                                                        ","fa8ab2"
"3230","NUEVO ESPACIO SANTAFESINO","NUEVO ESPACIO SANTAFESINO                                                                           ","3c0523"
"3231","POR JUJUY                ","POR JUJUY                                                                                           ","403f7d"
"3232","SI POR LA IGUALDAD       ","SI POR LA IGUALDAD                                                                                  ","1f5c29"
"3233","UNIDAD CIUDADANA         ","UNIDAD CIUDADANA                                                                                    ","e4bdc9"
"3234","AZUL Y BLANCA            ","AZUL Y BLANCA                                                                                       ","13d0ff"
"3235","MUP - AMARILLA           ","MUP - AMARILLA                                                                                      ","1d9ee4"
"3236","PERONISMO NACION - AZUL  ","PERONISMO NACION - AZUL                                                                             ","5b0df8"
"3237","CELESTE Y BLANCA         ","CELESTE Y BLANCA                                                                                    ","11559d"
"3238","AGRUPACION POLITICA SINDI","AGRUPACION POLITICA SINDICAL - GRIS                                                                 ","8de779"
"3239","RENOVACION CON MASSA - LI","RENOVACION CON MASSA - LILA                                                                         ","9539a7"
"3240","UNIDAD CIUDADANA - MAGENT","UNIDAD CIUDADANA - MAGENTA                                                                          ","6564e1"
"3241","NARANJA                  ","NARANJA                                                                                             ","645ab6"
"3242","FEDERALISMO Y CRECIMIENTO","FEDERALISMO Y CRECIMIENTO - ROSA                                                                    ","089c8c"
"3243","EL PERONISMO VUELVE - VER","EL PERONISMO VUELVE - VERDE                                                                         ","61bdb0"
"3244","RIOJA FEDERAL            ","RIOJA FEDERAL                                                                                       ","c6d4b9"
"3245","CELESTE POR LOS TRABAJADO","CELESTE POR LOS TRABAJADORES                                                                        ","efe559"
"3246","FUERZA NUEVA             ","FUERZA NUEVA                                                                                        ","46a9a4"
"3247","JUSTICIA Y DIGNIDAD PERON","JUSTICIA Y DIGNIDAD PERONISTA                                                                       ","00f480"
"3248","LA PATRIA ES EL OTRO     ","LA PATRIA ES EL OTRO                                                                                ","4f12ae"
"3249","LIBRES PENSADORES        ","LIBRES PENSADORES                                                                                   ","3f0a65"
"3250","POR LA PRODUCCION, EL TRA","POR LA PRODUCCION, EL TRABAJO Y LA JUSTICIA SOCIAL                                                  ","0eef4d"
"3251","SENTIMIENTO FEDERAL      ","SENTIMIENTO FEDERAL                                                                                 ","fff926"
"3252","SOMOS ENTRE RIOS         ","SOMOS ENTRE RIOS                                                                                    ","a86bcb"
"3253","UNION CIUDADANA          ","UNION CIUDADANA                                                                                     ","924fc9"
"3254","VIVA PERON!! - VIVA ENTRE","VIVA PERON!! - VIVA ENTRE RIOS!!                                                                    ","7c0a05"
"3255","A                        ","A                                                                                                   ","2527c8"
"3256","CONDUCCION               ","CONDUCCION                                                                                          ","e91ac5"
"3257","ESPERANZA                ","ESPERANZA                                                                                           ","58c053"
"3258","ORDEN  Y SEGURIDAD       ","ORDEN  Y SEGURIDAD                                                                                  ","2b386a"
"3259","PIONEROS                 ","PIONEROS                                                                                            ","59ef94"
"3260","SOBERANIA                ","SOBERANIA                                                                                           ","de1be5"
"3261","SOLIDARIDAD              ","SOLIDARIDAD                                                                                         ","d814ae"
"3262","FRENTE POPULAR PARA LA LI","FRENTE POPULAR PARA LA LIBERACION                                                                   ","ff3165"
"3263","ADELANTE                 ","ADELANTE                                                                                            ","a2bb4d"
"3264","SUMEMOS POR SANTA FE     ","SUMEMOS POR SANTA FE                                                                                ","fee204"
"3265","ES EL MOMENTO            ","ES EL MOMENTO                                                                                       ","e3cbf3"
"3266","MAS PARA LA GENTE        ","MAS PARA LA GENTE                                                                                   ","5edc79"
"3267","PARTICIPACION            ","PARTICIPACION                                                                                       ","bb3262"
"3268","LIBRES                   ","LIBRES                                                                                              ","3efe98"
"3269","RENOVEMOS CORRIENTES     ","RENOVEMOS CORRIENTES                                                                                ","1b95ca"
"3270","VAMOS PUEBLO CORRENTINO  ","VAMOS PUEBLO CORRENTINO                                                                             ","241e10"
"3271","RENOVACION               ","RENOVACION                                                                                          ","b35497"
"3272","RENOVEMOS JUJUY          ","RENOVEMOS JUJUY                                                                                     ","c30ece"
"3273","UN PAIS UNIDO HOY Y SIEMP","UN PAIS UNIDO HOY Y SIEMPRE                                                                         ","13b019"
"3274","UNA JUJUY                ","UNA JUJUY                                                                                           ","0329e0"
"3275","ROJA, AZUL Y BLANCA      ","ROJA, AZUL Y BLANCA                                                                                 ","38323f"
"3276","UNIDAD SOCIAL Y POPULAR  ","UNIDAD SOCIAL Y POPULAR                                                                             ","167fbe"
"3277","FRENTE SOCIALISTA Y POPUL","FRENTE SOCIALISTA Y POPULAR                                                                         ","bc1a46"
"3278","CONSTRUYENDO             ","CONSTRUYENDO                                                                                        ","0f0d65"
"3279","NUEVA CONDUCCION         ","NUEVA CONDUCCION                                                                                    ","094301"
"3280","UNIDAD CIUDADANA PARA TEN","UNIDAD CIUDADANA PARA TENER FUTURO                                                                  ","dffb9e"
"3281","CELESTE Y BLANCA         ","CELESTE Y BLANCA                                                                                    ","11559d"
"3282","SAN JUAN PRIMERO         ","SAN JUAN PRIMERO                                                                                    ","55c009"
"3283","EL CAMBIO CONTINUA       ","EL CAMBIO CONTINUA                                                                                  ","24645e"
"3284","COMPROMISO               ","COMPROMISO                                                                                          ","799d30"
"3285","CONSENSO Y LEALTAD PROVIN","CONSENSO Y LEALTAD PROVINCIAL                                                                       ","3a9217"
"3286","CONSTRUIMOS              ","CONSTRUIMOS                                                                                         ","46fdc9"
"3287","DESARROLLO Y TRABAJO     ","DESARROLLO Y TRABAJO                                                                                ","6f6968"
"3288","HACIA UN FUTURO MEJOR    ","HACIA UN FUTURO MEJOR                                                                               ","c28fbc"
"3289","NUEVA EXPRESION JUSTICIAL","NUEVA EXPRESION JUSTICIALISTA                                                                       ","c9ed99"
"3290","1 UNIDAD DE LA IZQUIERDA ","1 UNIDAD DE LA IZQUIERDA                                                                            ","2b208d"
"3291","UNIDAD                   ","UNIDAD                                                                                              ","f6d4a0"
"3292","UNIDAD DE LA  IZQUIERDA  ","UNIDAD DE LA  IZQUIERDA                                                                             ","5b60a1"
"3293","CELESTE Y BLANCA         ","CELESTE Y BLANCA                                                                                    ","11559d"
"3294","COMPROMISO CIUDADANO     ","COMPROMISO CIUDADANO                                                                                ","5827d0"
"3295","CRECER JUNTOS            ","CRECER JUNTOS                                                                                       ","8ac381"
"3296","LA DOCTRINA              ","LA DOCTRINA                                                                                         ","113a55"
"3297","VOLVER A CREER           ","VOLVER A CREER                                                                                      ","8031f1"
"3298","VERDE ORGULLO RIONEGRINO ","VERDE ORGULLO RIONEGRINO                                                                            ","4c0f1a"
"3299","COMPROMISO               ","COMPROMISO                                                                                          ","c52cff"
"3300","LA 51                    ","LA 51                                                                                               ","eedbcf"
"3301","LA 52                    ","LA 52                                                                                               ","904f72"
"3302","UNIDAD                   ","UNIDAD                                                                                              ","8eef18"
"3303","UNIDAD                   ","UNIDAD                                                                                              ","d50d38"
"3304","CELESTE Y BLANCA U       ","CELESTE Y BLANCA U                                                                                  ","11559d"
"3305","PROYECTO NACIONAL Y POPUL","PROYECTO NACIONAL Y POPULAR - K                                                                     ","ee1c26"
"3306","CELESTE Y BLANCA         ","CELESTE Y BLANCA                                                                                    ","11559d"
"3307","AHORA BUENOS AIRES       ","AHORA BUENOS AIRES                                                                                  ","f266c0"
"3308","HONESTIDAD Y CORAJE      ","HONESTIDAD Y CORAJE                                                                                 ","892e47"
"3309","UNIDAD CIUDADANA         ","UNIDAD CIUDADANA                                                                                    ","c5405c"
"3310","EL CAMINO DEL CAMBIO     ","EL CAMINO DEL CAMBIO                                                                                ","450b21"
"3311","INTEGRACION CIUDADANA    ","INTEGRACION CIUDADANA                                                                               ","bb6c0c"
"3312","JUNTOS POR UN CAMBIO     ","JUNTOS POR UN CAMBIO                                                                                ","b552ae"
"3313","MOVIMIENTO DE UNIDAD PERO","MOVIMIENTO DE UNIDAD PERONISTA                                                                      ","dc7662"
"3314","CELESTE                  ","CELESTE                                                                                             ","a6b82e"
"3315","AHORA ESTAMOS            ","AHORA ESTAMOS                                                                                       ","6b2d5d"
"3316","JUNTOS POR VOS           ","JUNTOS POR VOS                                                                                      ","e93f9b"
"3317","NUEVO AMANECER           ","NUEVO AMANECER                                                                                      ","c0e253"
"3318","SIGAMOS CON EL CAMBIO    ","SIGAMOS CON EL CAMBIO                                                                               ","ef3f66"
"3319","UNIDOS POR LA FE         ","UNIDOS POR LA FE                                                                                    ","afd66d"
"3330","DRAGON                   ","DRAGON                                                                                              ","ddbe70"
"3332","NACIONALISTA CONSTITUCION","NACIONALISTA CONSTITUCIONAL                                                                         ","17532f"
"3333","KIRCHNERISMO PARA TODOS  ","KIRCHNERISMO PARA TODOS                                                                             ","8dc2a2"
"3334","GEM CATAMARCA            ","GEM CATAMARCA                                                                                       ","47e714"
"3335","FUERZA DE LA GENTE       ","FUERZA DE LA GENTE                                                                                  ","aca47e"
"3336","UNIDAD                   ","UNIDAD                                                                                              ","6b5856"
"3337","GENTE PROGRESISTA        ","GENTE PROGRESISTA                                                                                   ","57c09d"
"3338","NACE UN PAIS             ","NACE UN PAIS                                                                                        ","c85e39"
"3340","FRENTE JUSTICIALISTA PARA","FRENTE JUSTICIALISTA PARA LA VICTORIA                                                               ","f627ef"
"3341","AZUL Y BLANCA - A1       ","AZUL Y BLANCA - A1                                                                                  ","805393"
"3342","AZUL Y BLANCA - A2       ","AZUL Y BLANCA - A2                                                                                  ","ad7c2b"
"3343","AZUL Y BLANCA - A3       ","AZUL Y BLANCA - A3                                                                                  ","431b63"
"3344","AZUL Y BLANCA - A4       ","AZUL Y BLANCA - A4                                                                                  ","1e35cc"
"3345","CAMBIEMOS JUNTOS - A1    ","CAMBIEMOS JUNTOS - A1                                                                               ","859aa6"
"3346","CAMBIEMOS JUNTOS - A2    ","CAMBIEMOS JUNTOS - A2                                                                               ","5b657f"
"3347","GEM CATAMARCA - A1       ","GEM CATAMARCA - A1                                                                                  ","87b8cb"
"3348","GEM CATAMARCA - A2       ","GEM CATAMARCA - A2                                                                                  ","9adafa"
"3349","LISTA A                  ","LISTA A                                                                                             ","0a0a65"
"3350","CELESTE Y BLANCA U2      ","CELESTE Y BLANCA U2                                                                                 ","11559d"
"3351","CELESTE Y BLANCA U4      ","CELESTE Y BLANCA U4                                                                                 ","11559d"
"3352","POR TIERRA TECHO Y TRABAJ","POR TIERRA TECHO Y TRABAJO                                                                          ","70b779"
"3353","CONVICCIONES             ","CONVICCIONES                                                                                        ","ff6006"
"3354","1A AMARILLO              ","1A AMARILLO                                                                                         ","9d1269"
"3355","CUMPLIR 2                ","CUMPLIR 2                                                                                           ","f5ad6b"
"3356","AUTOCTONO                ","AUTOCTONO                                                                                           ","57bb12"
"3357","DIGNIDAD POPULAR         ","DIGNIDAD POPULAR                                                                                    ","f25b43"
"3358","FRENTE UNION FEDERAL     ","FRENTE UNION FEDERAL                                                                                ","758a30"
"3359","LABORISTA                ","LABORISTA                                                                                           ","42585f"
"3360","POPULAR                  ","POPULAR                                                                                             ","d862cc"
"3361","RENOVACION FEDERAL       ","RENOVACION FEDERAL                                                                                  ","5c6509"
"3362","TRES BANDERAS            ","TRES BANDERAS                                                                                       ","f731d3"
"3363","CONCERTACION FEDERAL UNIT","CONCERTACION FEDERAL UNITE                                                                          ","a65dbd"
"3365","LISTA 31                 ","LISTA 31                                                                                            ","523039"
"3366","CUMPLIR 4                ","CUMPLIR 4                                                                                           ","52f899"
"3367","UNIDAD                   ","UNIDAD                                                                                              ","c1a390"
"3368","UNIDAD                   ","UNIDAD                                                                                              ","e6bb39"
"3369","SOLIDARIDAD              ","SOLIDARIDAD                                                                                         ","66958c"
"3370","UN PAIS PRESENTE CON FUTU","UN PAIS PRESENTE CON FUTURO                                                                         ","6724d2"
"3371","IGUALDAD Y SOLIDARIDAD   ","IGUALDAD Y SOLIDARIDAD                                                                              ","cdbab3"
"3372","SOCIALISMO BROWN         ","SOCIALISMO BROWN                                                                                    ","1062b5"
"3373","SOCIALISMO               ","SOCIALISMO                                                                                          ","814542"
"3374","LEALTAD Y DIGNIDAD 14    ","LEALTAD Y DIGNIDAD 14                                                                               ","5aa3aa"
"3375","PRIMERA DAMA DEL PUEBLO  ","PRIMERA DAMA DEL PUEBLO                                                                             ","cee90c"
"3376","FRENTE DE UNIDAD NACIENTE","FRENTE DE UNIDAD NACIENTE                                                                           ","6a80b6"
"3377","UN CAMBIO REAL           ","UN CAMBIO REAL                                                                                      ","2821d3"
"3378","FUERZA COLECTIVA         ","FUERZA COLECTIVA                                                                                    ","f63837"
"3379","LEALTAD Y DIGNIDAD 12    ","LEALTAD Y DIGNIDAD 12                                                                               ","fc1d66"
"3380","LATINOAMERICANA          ","LATINOAMERICANA                                                                                     ","8de280"
"3381","LISTA 33                 ","LISTA 33                                                                                            ","c0bf78"
"3383","POR OLAVARRIA TODOS      ","POR OLAVARRIA TODOS                                                                                 ","cd9549"
"3384","VAMOS POR MAS            ","VAMOS POR MAS                                                                                       ","9b4d14"
"3385","2A AMARILLO              ","2A AMARILLO                                                                                         ","afddaf"
"3386","4A FUCSIA                ","4A FUCSIA                                                                                           ","85aa00"
"3387","SIEMPRE JUNTOS           ","SIEMPRE JUNTOS                                                                                      ","434e8f"
"3388","LISTA 35                 ","LISTA 35                                                                                            ","3af292"
"3389","VALORES PARA MI PAIS     ","VALORES PARA MI PAIS                                                                                ","d95b6c"
"3390","NUEVO PERGAMINO          ","NUEVO PERGAMINO                                                                                     ","b9e0b3"
"3391","3A ROJO                  ","3A ROJO                                                                                             ","2d9651"
"3392","AZUL                     ","AZUL                                                                                                ","dd1329"
"3393","CELESTE Y BLANCA U6      ","CELESTE Y BLANCA U6                                                                                 ","11559d"
"3394","NUEVO ZARATE             ","NUEVO ZARATE                                                                                        ","74e92c"
"3395","LISTA 1                  ","LISTA 1                                                                                             ","c53a48"
"3396","BLANCA                   ","BLANCA                                                                                              ","12c9ba"
"3397","UNICA                    ","UNICA                                                                                               ","779db5"
"3398","CON.SO.PA                ","CON.SO.PA                                                                                           ","58f0fc"
"3399","UNICA                    ","UNICA                                                                                               ","c8a2e6"
"3400","BLANCA RENACER VECINAL   ","BLANCA RENACER VECINAL                                                                              ","130db1"
"3401","CONSTRUCCION JUARENSE    ","CONSTRUCCION JUARENSE                                                                               ","16346c"
"3402","JUSTICIA E IGUALDAD      ","JUSTICIA E IGUALDAD                                                                                 ","357b6b"
"3403","JUNIN BICENTENARIO       ","JUNIN BICENTENARIO                                                                                  ","656641"
"3404","POR UN NUEVO JUNIN       ","POR UN NUEVO JUNIN                                                                                  ","3a7e3c"
"3405","PRIMERO VOS              ","PRIMERO VOS                                                                                         ","99b3b8"
"3406","LTA.MTO.VEC.DEL PDO. DE T","LTA.MTO.VEC.DEL PDO DE TRES ARROYOS                                                                 ","171cf3"
"3407","UNICA                    ","UNICA                                                                                               ","e6f7b1"
"3408","UV MAS CAMPANA           ","UV MAS CAMPANA                                                                                      ","25b27f"
"3409","CUMPLIR 6                ","CUMPLIR 6                                                                                           ","8a082c"
"3410","FUNDADORA                ","FUNDADORA                                                                                           ","82f0f8"
"3411","LEALTAD Y DIGNIDAD 16    ","LEALTAD Y DIGNIDAD 16                                                                               ","baea76"
"3412","CON LA FUERZA DE LA GENTE","CON LA FUERZA DE LA GENTE                                                                           ","989742"
"3413","LEALTAD Y DIGNIDAD 18    ","LEALTAD Y DIGNIDAD 18                                                                               ","af2579"
"3414","CELESTE Y BLANCA U8      ","CELESTE Y BLANCA U8                                                                                 ","11559d"
"3415","MOVES LUJAN              ","MOVES LUJAN                                                                                         ","89c464"
"3416","VECINOS POR MERCEDES     ","VECINOS POR MERCEDES                                                                                ","270bf0"
"3417","25 DE MAYO               ","25 DE MAYO                                                                                          ","e5e208"
"3418","SOCIALISMO MERLENSE      ","SOCIALISMO MERLENSE                                                                                 ","2e307d"
"3419","PROYECTO LOCAL MERLENSE  ","PROYECTO LOCAL MERLENSE                                                                             ","12d1b8"
"3420","UNION DEL PUEBLO         ","UNION DEL PUEBLO                                                                                    ","79d1f8"
"3421","PILAR QUERIDO            ","PILAR QUERIDO                                                                                       ","cb9ebb"
"3422","ACCION POR PILAR         ","ACCION POR PILAR                                                                                    ","b82e60"
"3423","AMARTE ARGENTINA 32      ","AMARTE ARGENTINA 32                                                                                 ","88b0c9"
"3424","EL PODER DE LOS VECINOS  ","EL PODER DE LOS VECINOS                                                                             ","858f49"
"3425","PURO PERONISMO 22        ","PURO PERONISMO 22                                                                                   ","b799e0"
"3426","VECINOS DIRIGENTES       ","VECINOS DIRIGENTES                                                                                  ","efcac0"
"3427","COMPROMISO CIUDADANO     ","COMPROMISO CIUDADANO                                                                                ","055bf9"
"3428","UNIDAD PACEÑA            ","UNIDAD PACEÑA                                                                                       ","131fec"
"3429","COMPROMISO VECINAL       ","COMPROMISO VECINAL                                                                                  ","3ca964"
"3430","CUMPLIR 8                ","CUMPLIR 8                                                                                           ","8c06ed"
"3431","301A ROJO                ","301A ROJO                                                                                           ","146d0b"
"3432","LA FUERZA DEL PUEBLO     ","LA FUERZA DEL PUEBLO                                                                                ","1cffc3"
"3433","VAMOS VECINOS            ","VAMOS VECINOS                                                                                       ","e015ef"
"3434","BLANCA                   ","BLANCA                                                                                              ","e5e437"
"3435","LISTA 8A                 ","LISTA 8A                                                                                            ","24f384"
"3436","CREEMOS                  ","CREEMOS                                                                                             ","0ffd1a"
"3437","LISTA 37                 ","LISTA 37                                                                                            ","4ca6d5"
"3438","LISTA AM                 ","LISTA AM                                                                                            ","8f5b48"
"3439","NUEVA ACCION             ","NUEVA ACCION                                                                                        ","ce8697"
"3440","LTA.ENCUENTRO POR LA IGUA","LTA.ENCUENTRO POR LA IGUALDAD                                                                       ","02f94e"
"3441","CONSTRUYENDO FUTURO      ","CONSTRUYENDO FUTURO                                                                                 ","671284"
"3442","COMPROMISO VECINAL LA COS","COMPROMISO VECINAL LA COSTA                                                                         ","4a3295"
"3443","MOV.PARA LA VICTORIA     ","MOV.PARA LA VICTORIA                                                                                ","1f74ac"
"3444","AZUL                     ","AZUL                                                                                                ","d3697e"
"3445","VALORES                  ","VALORES                                                                                             ","b5d597"
"3446","LISTA 1                  ","LISTA 1                                                                                             ","3585d3"
"3447","FUERZA VECINAL PARA EL CA","FUERZA VECINAL PARA EL CAMBIO SOCIAL                                                                ","44326b"
"3448","EQUIPO DE GOBIERNO       ","EQUIPO DE GOBIERNO                                                                                  ","588956"
"3449","FRENTE DE UNIDAD NACIENTE","FRENTE DE UNIDAD NACIENTE                                                                           ","0cb266"
"9997","OTROS                    ","OTROS                                                                                               ","aeaeae"
